,0,1
191,2017-10-02 00:29:36+00:00,fuck w/ someone who gets excited just thinking about you.
192,2017-10-02 00:27:51+00:00,i'm too old to be telling niggas how to act and stop playing games with me.
193,2017-09-30 22:53:09+00:00,"Promises mean everything, but after they are broken, sorry means nothing. "
194,2017-09-30 22:52:50+00:00,"When you really care about someone, their happiness matters more than yours."
195,2017-09-29 22:50:02+00:00,"Nothing hurts more then being ignored, replaced, forgotten, or lied to."
196,2017-09-29 22:49:36+00:00,"Never let someone take advantage of you. Stand up for yourself, you deserve the best. "
197,2017-09-29 01:11:47+00:00,If you switch up on me for someone else don't hit me up when they switch up on you
198,2017-09-29 01:10:27+00:00,We all have that one person that we wasted just too much time on
199,2017-09-27 22:28:45+00:00,"It’s not about who’s real to you’re face, it’s about who’s real behind your back "
200,2017-09-27 22:27:55+00:00,"you are worth it, so please don't let anyone make you feel less than what you really are. "
201,2017-09-26 22:52:16+00:00,"deadass tho.. I lose interest fast. if u not showing me attention, if I feel like I’m forcing it or feel like u on some other shit, u a dub"
202,2017-09-26 22:52:08+00:00,"there are very few things i care about anymore, so if i reach out to you and show that i care please don't let me down"
203,2017-09-24 22:14:54+00:00,"When you really care about someone, their happiness matters more than yours."
204,2017-09-24 22:14:45+00:00,"What's the point of ""talking"" if y'all aren't going to be together? Or have no intentions of being w/ one another? Waste of time to me."
205,2017-09-23 20:19:55+00:00,i need someone in my life who cares about me as much as i care about them because i'm so tired of always being the one who cares more. 
206,2017-09-23 20:19:13+00:00,"don't talk to me because you are bored. i'm not here to entertain u and don't only come to me when u need a favor, i don't like being used"
207,2017-09-21 21:14:10+00:00,I be preparing to get over ppl way before we fall off and stop talking to each other.. 
208,2017-09-21 21:13:46+00:00,The first thing you should know about me is that I'm not you. A lot more will make sense after that.
209,2017-09-20 22:37:38+00:00,friends who defend you when you're not around are important 
210,2017-09-20 22:37:22+00:00,i wish people understood that heartbreak can be more damaging than drugs and alcohol
211,2017-09-19 23:44:19+00:00,Sucks to feel like you losing a bond with somebody you thought you had it with forever.
212,2017-09-19 23:44:02+00:00,it's not even that i don't want to talk to anyone else. i just don't want to put my all and time into someone to have it wasted again
213,2017-09-18 23:48:46+00:00,"people don't even date anymore. they just talk, catch feelings, have a good thing going on for a little bit then end up ignoring each other"
214,2017-09-18 23:48:28+00:00,its very rare to find someone that genuinely cares about you
215,2017-09-17 22:30:45+00:00,its fuckin heartbreaking when you watch someone so important to you change into a person you don't want anything to do with
216,2017-09-17 22:30:33+00:00,The first thing you should know about me is that I'm not you. A lot more will make sense after that.
217,2017-09-16 20:14:26+00:00,I understand that you don't like me but I need you to understand I don't care 
218,2017-09-16 20:14:00+00:00,i can feel u losing interest lol i'm not stupid 
219,2017-09-16 00:00:44+00:00,ME CHASE YOU? Bitch I don't even run when they shooting outside 
220,2017-09-15 22:42:12+00:00,They hurt you and act like you hurt them. 
221,2017-09-15 22:41:28+00:00,People will stab you in the back and then ask why you’re bleeding. 
222,2017-09-14 21:26:54+00:00,#NewProfilePic
223,2017-09-14 21:24:32+00:00,"I’ve never been so scared of losing something in my entire life, then again nothing in my life has ever meant as much to me as you do. "
224,2017-09-14 21:22:55+00:00,The saddest part in life is saying goodbye to someone you wanted to spend your life with. 
225,2017-09-13 22:42:10+00:00,Stop breaking your own heart for someone who isn't even fighting to keep yours in one piece. 
226,2017-09-13 20:24:11+00:00,You need someone who goes out of their way to make it obvious that they want you in their life. 
227,2017-09-13 20:23:06+00:00,I never want to stop making memories with you. 
228,2017-09-12 19:50:29+00:00,It’s hard to forget someone who gave you so much to remember. 
229,2017-09-12 19:50:07+00:00,It hurts when you’re being ignored by the person whose attention is the only thing you want in the world. 
230,2017-09-11 21:06:54+00:00,most painful thing ever is having feelings for someone you can't be with
231,2017-09-11 21:06:38+00:00,i care about ur feelings more than mine
